Human Robot Interaction,"The Impact of External Human-Machine Interfaces on Pedestrian Crossing Intention","presented at ROMAN 2025",conference,https://ieeexplore.ieee.org/abstract/document/11217796,,hongzheng-cui
Robotics and Engineering Ethics Education,"Case Study: Using Synthetic Datasets to Examine Bias in Machine Learning Algorithms for Resume Screening","presented at ASEE 2025",conference,https://peer.asee.org/case-study-using-synthetic-datasets-to-examine-bias-in-machine-learning-algorithms-for-resume-screening,,annika-haughey
Robotics and Engineering Ethics Education,"Lessons Learned in Developing ROS Asynchronous Tutorials for Robotics course: Guided versus Inquiry based Learning","presented at ASEE2025",conference,https://peer.asee.org/lessons-learned-in-developing-ros-asynchronous-tutorials-for-robotics-course-guided-versus-inquiry-based-learning,,evan-kusa
Medical Robotics,"Sampling-based model predictive control for volumetric ablation in robotic laser surgery","presented at ICRA 2025",conference,,,
Robotics and Engineering Ethics Education,"ETHICS-2025 Workshop: Engineering Education for an Ethical Future: Equipping Engineers for Emerging Technologies","IEEE Ethics 2027",conference,https://ieeexplore.ieee.org/abstract/document/11098327,,
Medical Robotics,"Design and Evaluation of a Compliant Quasi Direct Drive End-effector for Safe Robotic Ultrasound Imaging","arXiv preprint",journal,https://arxiv.org/pdf/2410.03086,,will-chen
Human Robot Interaction,"Trust, Safety and Efficacy of Autonomous Robotic Ultrasound Vascular Imaging Collection on Human Subjects","Presetned at ROMAN 2024",conference,https://par.nsf.gov/servlets/purl/10651562,,juan-lassovelasco
Robotics and Engineering Ethics Education,"Implementing and using ros in undergraduate robotics curricula","presented at ASEE 2024",conference,https://peer.asee.org/implementing-and-using-ros-in-undergraduate-robotics-curricula,,
Robotics and Engineering Ethics Education,"Work-in-Progress: The Effect of Summarizing a Research Article on Students' Area of Robotics Interest","poster presented at ASEE 2023",conference,,,
Medical Robotics,"Brain-mimicking phantom for photoablation and visualization","presented at ISMR 2023",conference,https://ieeexplore.ieee.org/abstract/document/10130243,,,
Medical Robotics,"Development and testing of a durable and novel breast phantom for robotic autonomous ultrasound systems","paper for Journal on Medical Robotics",journal,https://www.worldscientific.com/doi/abs/10.1142/S2424905X22410100,,
Medical Robotics,"Durable Breast Phantom with Geometric and Mechanical Properties Approximating Human Tissue for Ultrasound Image and Robotic System Testing.","paper presented at ISMR 2022",conference,https://ieeexplore.ieee.org/abstract/document/9807523,,
Medical Robotics,"A Novel Robotic System for Ultrasound-guided Peripheral Vascular Localization","paper presented at ICRA 2021",conference,https://ieeexplore.ieee.org/abstract/document/9561924,,
